日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/01/07,淡水,PM2.5,14,16,18,17,16,17,15,16,20,26,26,24,27,46,60,57,53,54,65,69,67,55,36,37
2014/01/07,淡水,SO2,1.3,2.1,2,2.1,2.1,2.1,2.1,2.5,3.7,3.7,2.8,2.5,4.8,8.6,7.4,8.2,7.9,6.9,5.2,6.3,7.2,5.2,3.7,6.6
2014/01/07,淡水,UVB,0,0,0,0,0,0,0,0.2,0.8,1.9,3.1,4,4,3.1,1.9,0.8,0.2,0,0,0,0,0,0,0
2014/01/08,淡水,CO,0.95,1.42,1.55,1.16,0.95,0.75,1.02,1.3,1.47,1.48,0.67,0.49,0.39,0.32,0.4#,0.37,0.43,0.51,0.58,0.59,0.52,0.47,0.42,0.38
2014/01/08,淡水,NO,16,48,59,30,22,13,34,56,49,36,6.2,5.1,5.3,6.1,6.2#,4#,4.9,4.5,4.4,4.1,4.3,4.1,4.1,3.7
2014/01/08,淡水,NO2,37,41,44,37,34,29,30,34,44,58,34,23,22,20,18#,11#,17,14,13,13,11,9,7.6,6.3
2014/01/08,淡水,NOx,53,89,103,67,56,41,64,90,93,93,40,28,28,26,24#,15#,22,18,17,17,15,13,12,10
2014/01/08,淡水,O3,4.6,3,3.1,2.7,2.2,4,2.6,3.2,4.5,8.2,41,38,22,25#,38,39,27,41,45,33,31,34,35,38
2014/01/08,淡水,PM10,84,75,82,78,65,60,60,72,88,106,116,114,93,62,,67,59,54,54,50,48,46,57,56
2014/01/08,淡水,PM2.5,43,38,43,44,40,40,40,41,49,64,65,58,49,36,,25,26,30,28,26,25,19,17,19
2014/01/08,淡水,SO2,4.5,8.4,11,6.6,5.2,5.5,5.6,8.9,8.9,9.4,10,7.4,4.5,3.6,4.6#,3.2,2.1,2.6,3.3,2.9,2.4,2.1,1.9,1.6
2014/01/08,淡水,UVB,0,0,0,0,0,0,0,0.2,0.7,1.5,2.3,1.2,0.5,1,1.1,0.3,0,0,0,0,0,0,0,0
2014/01/09,淡水,CO,0.32,0.3,0.3,0.31,0.37,0.38,0.36,0.4,0.44,0.4,0.36,0.33,0.3,0.29,0.28,0.27,0.28,0.3,0.31,0.3,0.29,0.29,0.29,0.27
2014/01/09,淡水,NO,3.6,3.6,3.4,0.4,0.6,0.5,1.2,1.6,1.7,1.6,1.1,0.8,1.1,1.2,1.1,1.1,1.1,1.3,1,1,0.8,0.7,0.9,0.6
2014/01/09,淡水,NO2,4.7,4,4,4.9,4.9,4.7,5.6,7.4,9.3,8.5,6.1,6.4,6,6.8,6.4,5.8,6.3,6.5,6.9,5.7,5,5,4.3,3.6
2014/01/09,淡水,NOx,8.3,7.6,7.4,5.3,5.5,5.1,6.8,9,11,10,7.2,7.2,7.1,8,7.5,6.9,7.4,7.7,7.9,6.6,5.9,5.7,5.2,4.2
2014/01/09,淡水,O3,43,45,43,41,36,36,37,36,33,35,40,39,38,38,38,39,38,37,36,38,38,38,38,40
2014/01/09,淡水,PM10,43,39,45,48,48,44,38,39,43,46,42,38,37,34,35,33,31,32,29,24,26,34,38,37
2014/01/09,淡水,PM2.5,20,23,26,25,21,19,19,20,24,26,26,20,16,17,18,19,18,15,15,14,19,20,19,19
2014/01/09,淡水,SO2,1.6,1.6,1.4,1.6,1.6,1.3,1.3,1.2,1.5,1.8,2,1.8,1.4,1.4,1.7,1.6,1.5,1.3,1.3,1.5,1.7,1.8,1.9,1.9
2014/01/09,淡水,UVB,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.3,0.2,0.2,0.1,0,0,0,0,0,0,0,0
2014/01/10,淡水,CO,0.25,0.23,0.22,0.22,0.24,0.27,0.25,0.31,0.29,0.24,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.27,0.23,0.59,0.36,0.19,0.19,0.18
2014/01/10,淡水,NO,0.5,0.7,0.5,0.5,0.8,0.8,1,1.7,1.6,1.7,1.6,1.2,1.3,1.2,1.2,1.3,1,0.8,0.7,6.8,1.7,0.5,0.7,0.6
2014/01/10,淡水,NO2,2.7,2.1,2.1,2.6,3.5,7.2,6.7,9.3,6.9,5.7,4.2,4.4,3.9,4.2,4.7,5.3,5.1,8.6,6.7,20,13,5.3,3.8,3.2
2014/01/10,淡水,NOx,3.2,2.8,2.7,3.1,4.3,8.1,7.7,11,8.6,7.4,5.8,5.6,5.2,5.4,5.9,6.5,6.1,9.4,7.5,27,15,5.8,4.5,3.8
2014/01/10,淡水,O3,41,43,42,41,35,30,35,34,36,38,39,39,40,40,39,38,40,35,36,19,30,38,40,41
2014/01/10,淡水,PM10,31,27,23,26,28,29,34,38,33,27,26,23,24,28,26,23,22,20,20,23,29,26,22,21
2014/01/10,淡水,PM2.5,17,17,17,16,16,14,20,23,20,19,17,13,16,15,13,12,8,7,7,13,14,13,10,11
2014/01/10,淡水,SO2,1.7,2,1.9,1.8,1.7,1.7,1.7,1.7,1.6,1.5,1.5,1.4,1.4,1.4,1.3,1.3,1.3,1.5,1.5,1.7,2,3.3,1.8,1.7
2014/01/10,淡水,UVB,0,0,0,0,0,0,0,0.1,0.4,2,2.9,2.8,2.3,2.3,1.7,0.7,0.2,0,0,0,0,0,0,0
2014/01/11,淡水,CO,0.17,0.15,0.16,0.16,0.17,0.18,0.21,0.27,0.22,0.19,0.19,0.18,0.2,0.21,0.21,0.21,0.23,0.33,0.31,0.23,0.23,0.22,0.3,0.53
2014/01/11,淡水,NO,0.9,0.6,0.8,1.1,1,1,1.1,1.5,1.7,1.2,1.2,1.3,1.4,1.2,1.5,1.5,1.6,1.1,1.2,0.9,1.2,1,1,2.3
2014/01/11,淡水,NO2,2.9,3.5,2.2,0.9,1,2.3,4.3,7.6,3.8,2.2,2.3,2.5,2.7,4.5,5.1,5.1,6.4,12,10,5.6,5.3,4.9,8.3,21
2014/01/11,淡水,NOx,3.8,4.1,2.9,2,1.9,3.2,5.4,9.1,5.5,3.4,3.5,3.7,4.2,5.6,6.6,6.6,8.1,13,11,6.5,6.5,5.9,9.3,23
2014/01/11,淡水,O3,40,39,42,42,41,37,37,35,36,39,40,42,44,44,43,43,39,30,31,36,37,39,33,20
2014/01/11,淡水,PM10,18,22,22,18,15,20,26,20,15,11,11,13,17,21,21,20,22,27,28,24,21,17,17,18
2014/01/11,淡水,PM2.5,11,9,9,10,12,6,5,6,7,8,8,9,8,10,13,11,11,10,13,13,8,6,8,7
2014/01/11,淡水,SO2,2.1,3.7,1,0.9,0.9,0.9,1.4,2.3,0.9,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.7,0.8,0.8,0.6,0.7,0.7,0.7,0.8
2014/01/11,淡水,UVB,0,0,0,0,0,0,0,0.2,0.9,2.2,3.6,4.7,4.7,3.8,2.4,1.1,0.3,0,0,0,0,0,0,0
2014/01/12,淡水,CO,0.71,0.78,1.18,0.98,0.21,0.18,0.21,0.26,0.26,0.28,0.24,0.3,0.28,0.27,0.27,0.27,0.29,0.29,0.29,0.28,0.29,0.29,0.29,0.27
2014/01/12,淡水,NO,8,13,47,30,7.4,3,3.5,4,3.9,3.9,3.6,4,3.8,3.6,3.5,3.1,3.1,3.3,3.5,3.1,3.2,3.2,3,2.9
2014/01/12,淡水,NO2,25,29,32,28,12,4,6,9.2,8.6,8.4,6.2,8.8,8,7,7.1,7.3,7.9,6.6,5.2,4.2,4.7,3.8,3.7,3
2014/01/12,淡水,NOx,33,42,79,57,19,7,9.5,13,13,12,9.8,13,12,11,11,10,11,9.9,8.6,7.3,7.8,7,6.7,5.8
2014/01/12,淡水,O3,11,5.6,3,2.7,23,31,30,28,29,30,34,32,32,33,33,34,35,37,38,38,37,38,39,40
2014/01/12,淡水,PM10,24,31,38,42,40,46,46,43,40,39,39,40,43,39,42,44,37,33,37,35,31,29,29,34
2014/01/12,淡水,PM2.5,9,15,19,20,18,17,17,19,20,17,16,17,20,18,16,13,14,16,13,13,14,14,12,10
2014/01/12,淡水,SO2,1,3.6,5.4,4.9,2.9,1.6,1.6,1.7,1.6,1.7,1.6,1.5,1.3,1.2,1.2,1.2,1.3,1.2,1.1,1.2,1.2,1.2,1.1,1.1
2014/01/12,淡水,UVB,0,0,0,0,0,0,0,0.1,0.3,0.7,1.6,1.2,1,0.6,0.4,0.1,0,0,0,0,0,0,0,0
2014/01/13,淡水,CO,0.28,0.29,0.29,0.3,0.34,0.34,0.36,0.38,0.38,0.36,0.35,0.34,0.32,0.32,0.36,0.38,0.46,0.51,0.52,0.52,0.41,0.38,0.34,0.31
2014/01/13,淡水,NO,2.9,2.9,2.9,0.4,0.7,0.5,0.9,1.1,0.9,1.1,0.6,1.2,0.9,0.9,0.8,0.9,1.1,1.2,1.2,1.3,0.9,0.4,0.5,0.5
2014/01/13,淡水,NO2,2.6,2.7,2.4,2,2.2,2.2,4.2,6.5,7.8,6.3,5.4,5.7,4.1,4.5,4.8,5.2,6,7.7,8.2,8.8,5.6,5.1,4,3.8
2014/01/13,淡水,NOx,5.4,5.6,5.3,2.4,2.9,2.7,5,7.5,8.7,7.4,6,6.9,5,5.4,5.6,6.2,7,8.9,9.4,10,6.4,5.6,4.4,4.2
2014/01/13,淡水,O3,40,40,41,41,41,42,40,39,37,39,39,41,45,45,45,44,42,39,37,36,37,37,39,39
2014/01/13,淡水,PM10,39,39,38,37,39,44,45,44,45,51,55,53,51,50,54,61,67,66,64,59,46,38,38,43
2014/01/13,淡水,PM2.5,16,18,16,20,22,22,21,21,23,25,28,31,29,26,29,33,38,43,39,36,30,20,22,26
