Date,Station,Item,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014/04/04,Sanyi,PM10,32,33,37,35,37,43,42,38,39,44,50,61,66,60,61,67,72,77,79,82,78,78,76,65
2014/04/05,Sanyi,PM10,53,50,53,55,54,48,49,60,75,77,66,71,77,77,68,61,67,70,70,68,73,82,73,65
2014/04/06,Sanyi,PM10,65,64,60,57,56,56,59,56,60,75,95,106,101,95,94,87,81,77,71,67,65,65,71,90
2014/04/07,Sanyi,PM10,99,94,81,70,68,67,68,55,38,35,31,27,27,26,26,21,22,29,32,31,28,29,31,33
2014/04/09,Sanyi,PM10,54,65,81,83,72,60,61,76,81,88,83,71,64,60,61,62,60,57,62,65,65,56,44,39
2014/04/10,Sanyi,PM10,43,45,42,42,42,34,27,31,42,44,40,43,45,44,54,67,70,71,73,72,70,72,68,68
2014/04/11,Sanyi,PM10,77,76,77,79,78,98,112,110,108,94,79,73,71,62,57,57,55,60,70,75,79,86,89,89
2014/04/12,Sanyi,PM10,82,78,70,61,60,55,46,42,44,57,70,75,72,59,51,56,60,61,60,60,64,64,57,48
2014/04/13,Sanyi,PM10,49,56,64,71,66,59,57,51,51,57,59,57,55,57,57,50,45,45,44,42,48,57,64,62
2014/04/14,Sanyi,PM10,53,43,37,32,29,29,34,37,37,40,43,42,48,84,92,57,48,49,55,51,48,48,43,42
2014/04/15,Sanyi,PM10,39,43,79,75,40,40,42,39,39,43,50,61,73,82,84,83,83,84,83,76,76,88,86,71
2014/04/16,Sanyi,PM10,62,62,65,66,71,73,76,77,82,86,79,71,68,67,60,59,65,64,68,70,61,57,57,60
2014/04/18,Sanyi,PM10,64,65,64,55,50,49,51,51,50,57,64,66,57,46,42,44,48,53,53,57,57,50,55,57
2014/04/19,Sanyi,PM10,50,45,45,50,46,34,32,33,31,40,53,48,46,57,56,46,43,43,44,46,50,56,54,51
2014/04/20,Sanyi,PM10,59,65,67,66,61,65,68,66,50,46,51,49,46,53,53,56,66,64,65,73,78,79,73,64
2014/04/21,Sanyi,PM10,64,62,57,48,42,39,31,29,34,39,46,51,65,75,73,68,61,64,67,67,71,72,67,65
2014/04/23,Sanyi,PM10,32,34,35,31,29,29,24,26,29,32,39,51,62,64,59,61,65,73,76,70,67,68,71,68
2014/04/24,Sanyi,PM10,70,70,64,56,46,39,34,37,34,42,46,38,40,46,50,60,68,82,90,93,97,97,89,79
2014/04/25,Sanyi,PM10,77,79,78,70,65,70,77,95,103,94,94,97,79,64,54,43,51,61,55,50,56,57,57,59
2014/04/26,Sanyi,PM10,59,62,64,61,62,59,48,45,55,59,56,57,40,27,31,32,34,27,20,24,27,27,29,33
2014/04/27,Sanyi,PM10,34,31,27,27,24,21,22,28,35,45,44,46,54,44,33,28,23,18,20,31,35,35,34,42
2014/04/28,Sanyi,PM10,56,61,56,50,46,44,45,46,44,45,45,46,49,54,61,68,75,71,64,61,56,55,59,59
2014/04/30,Sanyi,PM10,77,77,75,86,94,98,105,104,104,110,114,125,141,138,116,95,78,66,60,59,59,56,55,51
2014/05/01,Sanyi,PM10,44,35,29,28,37,43,42,44,49,51,50,49,44,35,24,22,23,24,22,21,22,26,22,20
2014/05/02,Sanyi,PM10,21,22,23,23,23,29,31,26,21,18,27,33,44,57,60,57,56,53,46,48,53,51,51,51
2014/05/03,Sanyi,PM10,44,43,48,42,40,45,44,57,71,66,61,59,62,66,62,54,56,68,64,61,67,66,60,67
2014/05/04,Sanyi,PM10,75,66,60,44,27,26,29,38,49,67,78,77,77,72,62,49,44,44,46,54,57,67,79,86
2014/05/05,Sanyi,PM10,81,71,44,18,12,13,13,12,9,11,20,18,16,20,21,22,26,31,29,27,37,45,40,35
2014/05/07,Sanyi,PM10,40,42,34,37,33,26,26,24,21,24,40,38,26,24,17,20,24,29,34,37,37,35,32,33
2014/05/08,Sanyi,PM10,34,31,28,31,32,34,34,37,35,27,24,23,27,31,28,27,28,32,33,37,45,45,44,38
2014/05/10,Sanyi,PM10,64,66,68,72,60,43,39,38,33,29,34,42,42,42,40,53,67,70,76,78,78,81,81,65
2014/05/11,Sanyi,PM10,40,28,28,33,37,42,40,34,24,23,28,29,31,31,38,49,38,27,27,31,33,28,24,22
2014/05/12,Sanyi,PM10,21,22,26,21,18,20,20,20,26,31,29,31,31,33,33,28,22,24,28,23,22,18,15,16
2014/05/14,Sanyi,PM10,23,29,23,17,21,23,21,16,17,22,31,29,40,42,28,29,28,27,24,26,28,27,26,27
2014/05/15,Sanyi,PM10,27,27,24,21,20,21,21,21,22,21,23,24,22,23,23,24,18,13,20,21,16,15,17,17
2014/05/16,Sanyi,PM10,22,24,21,20,35,39,28,24,21,24,29,35,33,29,42,53,56,70,86,77,57,48,55,50
2014/05/17,Sanyi,PM10,40,44,40,35,37,39,38,38,39,44,46,48,49,50,50,48,43,34,34,39,40,38,34,34
2014/05/18,Sanyi,PM10,33,32,34,28,27,28,23,29,34,29,35,37,33,31,24,20,16,17,20,20,22,23,23,26
2014/05/19,Sanyi,PM10,24,23,23,22,23,29,27,22,21,31,38,23,13,13,16,16,15,21,24,27,27,27,27,26
2014/05/21,Sanyi,PM10,22,18,16,16,11,16,21,16,16,16,16,22,22,12,10,16,20,13,12,13,12,13,17,17
2014/05/22,Sanyi,PM10,21,26,24,20,17,16,17,16,16,13,13,17,20,20,23,26,26,31,33,35,38,37,40,40
2014/05/23,Sanyi,PM10,34,31,34,49,50,31,24,28,27,23,20,16,18,29,40,46,49,42,29,27,37,44,40,40
2014/05/24,Sanyi,PM10,40,34,31,32,31,32,31,24,21,21,24,26,33,45,42,27,18,16,22,26,29,33,32,33
2014/05/25,Sanyi,PM10,34,32,27,23,22,23,24,27,27,31,29,32,38,40,33,27,35,39,34,33,28,23,28,29
2014/05/26,Sanyi,PM10,38,33,20,23,23,23,24,22,20,24,27,28,33,28,23,32,45,39,34,42,42,42,38,33
2014/05/27,Sanyi,PM10,29,28,31,28,22,23,21,20,26,31,32,23,17,13,23,31,21,23,40,57,70,71,66,57
2014/05/29,Sanyi,PM10,57,50,43,35,35,34,42,48,45,45,60,66,43,35,42,35,31,33,34,32,33,35,33,29
2014/05/30,Sanyi,PM10,23,24,31,32,29,32,29,26,26,26,32,38,34,32,31,26,28,27,26,32,33,33,33,35
2014/05/31,Sanyi,PM10,39,39,40,35,37,39,37,29,35,45,45,38,29,28,24,20,18,23,32,42,51,55,56,53
2014/06/01,Sanyi,PM10,46,43,42,40,42,43,44,51,62,57,44,42,45,42,33,27,23,22,28,29,28,28,29,32
2014/06/02,Sanyi,PM10,35,35,31,22,18,21,17,13,17,20,22,22,26,24,26,23,20,23,20,18,20,17,17,17
2014/06/03,Sanyi,PM10,16,16,21,17,18,18,17,16,16,20,23,22,20,22,21,21,18,18,17,15,16,15,17,20
