Season,Dummy,DateStation,Item,Day00,Day01,Day02,Day03,Day04,Day05,Day06,Day07,Day08,Day09,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23
Spring,1000,2014/04/14Sanyi,PM10,53.0,43.0,37.0,32.0,29.0,29.0,34.0,37.0,37.0,40.0,43.0,42.0,48.0,84.0,92.0,57.0,48.0,49.0,55.0,51.0,48.0,48.0,43.0,42.0
Spring,1000,2014/04/15Sanyi,PM10,39.0,43.0,79.0,75.0,40.0,40.0,42.0,39.0,39.0,43.0,50.0,61.0,73.0,82.0,84.0,83.0,83.0,84.0,83.0,76.0,76.0,88.0,86.0,71.0
Spring,1000,2014/04/16Sanyi,PM10,62.0,62.0,65.0,66.0,71.0,73.0,76.0,77.0,82.0,86.0,79.0,71.0,68.0,67.0,60.0,59.0,65.0,64.0,68.0,70.0,61.0,57.0,57.0,60.0
Spring,1000,2014/04/18Sanyi,PM10,64.0,65.0,64.0,55.0,50.0,49.0,51.0,51.0,50.0,57.0,64.0,66.0,57.0,46.0,42.0,44.0,48.0,53.0,53.0,57.0,57.0,50.0,55.0,57.0
Spring,1000,2014/04/19Sanyi,PM10,50.0,45.0,45.0,50.0,46.0,34.0,32.0,33.0,31.0,40.0,53.0,48.0,46.0,57.0,56.0,46.0,43.0,43.0,44.0,46.0,50.0,56.0,54.0,51.0
Spring,1000,2014/04/20Sanyi,PM10,59.0,65.0,67.0,66.0,61.0,65.0,68.0,66.0,50.0,46.0,51.0,49.0,46.0,53.0,53.0,56.0,66.0,64.0,65.0,73.0,78.0,79.0,73.0,64.0
Spring,1000,2014/04/21Sanyi,PM10,64.0,62.0,57.0,48.0,42.0,39.0,31.0,29.0,34.0,39.0,46.0,51.0,65.0,75.0,73.0,68.0,61.0,64.0,67.0,67.0,71.0,72.0,67.0,65.0
Spring,1000,2014/04/23Sanyi,PM10,32.0,34.0,35.0,31.0,29.0,29.0,24.0,26.0,29.0,32.0,39.0,51.0,62.0,64.0,59.0,61.0,65.0,73.0,76.0,70.0,67.0,68.0,71.0,68.0
Spring,1000,2014/04/24Sanyi,PM10,70.0,70.0,64.0,56.0,46.0,39.0,34.0,37.0,34.0,42.0,46.0,38.0,40.0,46.0,50.0,60.0,68.0,82.0,90.0,93.0,97.0,97.0,89.0,79.0
Spring,1000,2014/04/25Sanyi,PM10,77.0,79.0,78.0,70.0,65.0,70.0,77.0,95.0,103.0,94.0,94.0,97.0,79.0,64.0,54.0,43.0,51.0,61.0,55.0,50.0,56.0,57.0,57.0,59.0
Spring,1000,2014/04/26Sanyi,PM10,59.0,62.0,64.0,61.0,62.0,59.0,48.0,45.0,55.0,59.0,56.0,57.0,40.0,27.0,31.0,32.0,34.0,27.0,20.0,24.0,27.0,27.0,29.0,33.0
Spring,1000,2014/04/27Sanyi,PM10,34.0,31.0,27.0,27.0,24.0,21.0,22.0,28.0,35.0,45.0,44.0,46.0,54.0,44.0,33.0,28.0,23.0,18.0,20.0,31.0,35.0,35.0,34.0,42.0
Spring,1000,2014/04/28Sanyi,PM10,56.0,61.0,56.0,50.0,46.0,44.0,45.0,46.0,44.0,45.0,45.0,46.0,49.0,54.0,61.0,68.0,75.0,71.0,64.0,61.0,56.0,55.0,59.0,59.0
Spring,1000,2014/04/30Sanyi,PM10,77.0,77.0,75.0,86.0,94.0,98.0,105.0,104.0,104.0,110.0,114.0,125.0,141.0,138.0,116.0,95.0,78.0,66.0,60.0,59.0,59.0,56.0,55.0,51.0
Spring,1000,2014/05/01Sanyi,PM10,44.0,35.0,29.0,28.0,37.0,43.0,42.0,44.0,49.0,51.0,50.0,49.0,44.0,35.0,24.0,22.0,23.0,24.0,22.0,21.0,22.0,26.0,22.0,20.0
Spring,1000,2014/05/02Sanyi,PM10,21.0,22.0,23.0,23.0,23.0,29.0,31.0,26.0,21.0,18.0,27.0,33.0,44.0,57.0,60.0,57.0,56.0,53.0,46.0,48.0,53.0,51.0,51.0,51.0
Spring,1000,2014/05/03Sanyi,PM10,44.0,43.0,48.0,42.0,40.0,45.0,44.0,57.0,71.0,66.0,61.0,59.0,62.0,66.0,62.0,54.0,56.0,68.0,64.0,61.0,67.0,66.0,60.0,67.0
Spring,1000,2014/05/04Sanyi,PM10,75.0,66.0,60.0,44.0,27.0,26.0,29.0,38.0,49.0,67.0,78.0,77.0,77.0,72.0,62.0,49.0,44.0,44.0,46.0,54.0,57.0,67.0,79.0,86.0
